,date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
0,2019-01-01,1:20 AM,46 °F,41 °F,81 %,WSW,12 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
1,2019-01-01,1:50 AM,46 °F,43 °F,87 %,W,12 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
2,2019-01-01,2:20 AM,45 °F,43 °F,93 %,WSW,10 mph,0 mph,30.36 in,0.0 in,Light Drizzle
3,2019-01-01,2:50 AM,45 °F,43 °F,93 %,WSW,9 mph,0 mph,30.36 in,0.0 in,Light Drizzle
4,2019-01-01,3:20 AM,45 °F,43 °F,93 %,W,10 mph,0 mph,30.36 in,0.0 in,Light Drizzle
5,2019-01-01,3:50 AM,45 °F,43 °F,93 %,W,9 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
6,2019-01-01,4:20 AM,45 °F,41 °F,87 %,W,9 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
7,2019-01-01,4:50 AM,45 °F,41 °F,87 %,W,8 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
8,2019-01-01,5:20 AM,45 °F,41 °F,87 %,WSW,8 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
9,2019-01-01,5:50 AM,45 °F,41 °F,87 %,WSW,8 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
10,2019-01-01,6:20 AM,45 °F,39 °F,81 %,WSW,9 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
11,2019-01-01,6:50 AM,45 °F,39 °F,81 %,WSW,9 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
12,2019-01-01,7:20 AM,45 °F,41 °F,87 %,WSW,9 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
13,2019-01-01,7:50 AM,45 °F,41 °F,87 %,WSW,10 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
14,2019-01-01,8:20 AM,45 °F,39 °F,81 %,WSW,9 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
15,2019-01-01,8:50 AM,45 °F,39 °F,81 %,W,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
16,2019-01-01,9:20 AM,45 °F,41 °F,87 %,WSW,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
17,2019-01-01,9:50 AM,45 °F,39 °F,81 %,W,10 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
18,2019-01-01,10:20 AM,45 °F,41 °F,87 %,WSW,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
19,2019-01-01,10:50 AM,45 °F,41 °F,87 %,W,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
