date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
1/1/19,1:20 AM,46 å¡F,41 å¡F,81%,WSW,12 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
1/1/19,1:50 AM,46 å¡F,43 å¡F,87%,W,12 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
1/1/19,2:20 AM,45 å¡F,43 å¡F,93%,WSW,10 mph,0 mph,30.36 in,0.0 in,Light Drizzle
1/1/19,2:50 AM,45 å¡F,43 å¡F,93%,WSW,9 mph,0 mph,30.36 in,0.0 in,Light Drizzle
1/1/19,3:20 AM,45 å¡F,43 å¡F,93%,W,10 mph,0 mph,30.36 in,0.0 in,Light Drizzle
1/1/19,3:50 AM,45 å¡F,43 å¡F,93%,W,9 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
1/1/19,4:20 AM,45 å¡F,41 å¡F,87%,W,9 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
1/1/19,4:50 AM,45 å¡F,41 å¡F,87%,W,8 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
1/1/19,5:20 AM,45 å¡F,41 å¡F,87%,WSW,8 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
1/1/19,5:50 AM,45 å¡F,41 å¡F,87%,WSW,8 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
1/1/19,6:20 AM,45 å¡F,39 å¡F,81%,WSW,9 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
1/1/19,6:50 AM,45 å¡F,39 å¡F,81%,WSW,9 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,7:20 AM,45 å¡F,41 å¡F,87%,WSW,9 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,7:50 AM,45 å¡F,41 å¡F,87%,WSW,10 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,8:20 AM,45 å¡F,39 å¡F,81%,WSW,9 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,8:50 AM,45 å¡F,39 å¡F,81%,W,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,9:20 AM,45 å¡F,41 å¡F,87%,WSW,12 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
1/1/19,9:50 AM,45 å¡F,39 å¡F,81%,W,10 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
