,index,time,,Temp (F),dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
,1,1/1/19 0:20,,46,41,0.81,WSW,12,0,30.36,0,Mostly Cloudy
,1.5,1/1/19 0:35,,,,,,,,,,
,2,1/1/19 0:50,,46,43,0.87,W,12,0,30.39,0,Mostly Cloudy
,2.5,1/1/19 1:05,,,,,,,,,,
,3,1/1/19 1:20,,45,43,0.93,WSW,10,0,30.36,0,Light Drizzle
,3.5,1/1/19 1:35,,,,,,,,,,
,4,1/1/19 1:50,,45,43,0.93,WSW,9,0,30.36,0,Light Drizzle
,4.5,1/1/19 2:05,,,,,,,,,,
,5,1/1/19 2:20,,45,43,0.93,W,10,0,30.36,0,Light Drizzle
,5.5,1/1/19 2:35,,,,,,,,,,
,6,1/1/19 2:50,,45,43,0.93,W,9,0,30.36,0,Mostly Cloudy
,6.5,1/1/19 3:05,,,,,,,,,,
,7,1/1/19 3:20,,45,41,0.87,W,9,0,30.36,0,Mostly Cloudy
,7.5,1/1/19 3:35,,,,,,,,,,
,8,1/1/19 3:50,,45,41,0.87,W,8,0,30.36,0,Mostly Cloudy
,8.5,1/1/19 4:05,,,,,,,,,,
,9,1/1/19 4:20,,45,41,0.87,WSW,8,0,30.33,0,Mostly Cloudy
,9.5,1/1/19 4:35,,,,,,,,,,
,10,1/1/19 4:50,,45,41,0.87,WSW,8,0,30.33,0,Mostly Cloudy
,10.5,1/1/19 5:05,,,,,,,,,,
,11,1/1/19 5:20,,45,39,0.81,WSW,9,0,30.33,0,Mostly Cloudy
,11.5,1/1/19 5:35,,,,,,,,,,
,12,1/1/19 5:50,,45,39,0.81,WSW,9,0,30.3,0,Mostly Cloudy
,12.5,1/1/19 6:05,,,,,,,,,,
,13,1/1/19 6:20,,45,41,0.87,WSW,9,0,30.3,0,Mostly Cloudy
,13.5,1/1/19 6:35,,,,,,,,,,
,14,1/1/19 6:50,,45,41,0.87,WSW,10,0,30.3,0,Mostly Cloudy
,14.5,1/1/19 7:05,,,,,,,,,,
,15,1/1/19 7:20,,45,39,0.81,WSW,9,0,30.3,0,Mostly Cloudy
,15.5,1/1/19 7:35,,,,,,,,,,
,16,1/1/19 7:50,,45,39,0.81,W,12,0,30.3,0,Mostly Cloudy
,16.5,1/1/19 8:05,,,,,,,,,,
,17,1/1/19 8:20,,45,41,0.87,WSW,12,0,30.3,0,Mostly Cloudy
,17.5,1/1/19 8:35,,,,,,,,,,
,18,1/1/19 8:50,,45,39,0.81,W,10,0,30.3,0,Mostly Cloudy
,18.5,1/1/19 9:05,,,,,,,,,,
,19,1/1/19 9:20,,45,41,0.87,WSW,12,0,30.3,0,Mostly Cloudy
,19.5,1/1/19 9:35,,,,,,,,,,
,20,1/1/19 9:50,,45,41,0.87,W,12,0,30.3,0,Mostly Cloudy
,20.5,1/1/19 10:05,,,,,,,,,,
,21,1/1/19 10:20,,45,41,0.87,W,13,0,30.3,0,Mostly Cloudy
,21.5,1/1/19 10:35,,,,,,,,,,
,22,1/1/19 10:50,,45,41,0.87,W,13,0,30.3,0,Mostly Cloudy
,22.5,1/1/19 11:05,,,,,,,,,,
,23,1/1/19 11:20,,45,43,0.93,W,13,0,30.3,0,Mostly Cloudy
,23.5,1/1/19 11:35,,,,,,,,,,
,24,1/1/19 11:50,,46,43,0.87,W,14,0,30.3,0,Mostly Cloudy
,24.5,1/1/19 12:05,,,,,,,,,,
,25,1/1/19 12:20,,45,43,0.93,W,12,0,30.28,0,Light Drizzle
,25.5,1/1/19 12:35,,,,,,,,,,
,26,1/1/19 12:50,,45,45,1,W,12,0,30.28,0,Light Drizzle
,26.5,1/1/19 13:05,,,,,,,,,,
,27,1/1/19 13:20,,46,45,0.93,W,13,0,30.28,0,Light Drizzle
,27.5,1/1/19 13:35,,,,,,,,,,
,28,1/1/19 13:50,,46,45,0.93,W,14,0,30.28,0,Light Drizzle
,28.5,1/1/19 14:05,,,,,,,,,,
,29,1/1/19 14:20,,46,45,0.93,W,13,0,30.28,0,Light Drizzle
,29.5,1/1/19 14:35,,,,,,,,,,
,30,1/1/19 14:50,,46,45,0.93,WNW,12,0,30.28,0,Light Drizzle
,30.5,1/1/19 15:05,,,,,,,,,,
,31,1/1/19 15:20,,46,45,0.93,WNW,10,0,30.28,0,Mist
,31.5,1/1/19 15:35,,,,,,,,,,
,32,1/1/19 15:50,,46,45,0.93,NW,12,0,30.3,0,Mostly Cloudy
,32.5,1/1/19 16:05,,,,,,,,,,
,33,1/1/19 16:20,,46,43,0.87,NNW,10,0,30.3,0,Mostly Cloudy
