DateTime,Most recent forecast [MW],Day-Ahead forecast [MW],Week-Ahead forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp],Day-Ahead forecast (11h00) [MW]
01/01/2019 00:00,0,0,0,0,0,282.19,0
01/01/2019 00:15,0,0,0,0,0,282.19,0
01/01/2019 00:30,0,0,0,0,0,282.19,0
01/01/2019 00:45,0,0,0,0,0,282.19,0
01/01/2019 01:00,0,0,0,0,0,282.19,0
01/01/2019 01:15,0,0,0,0,0,282.19,0
01/01/2019 01:30,0,0,0,0,0,282.19,0
01/01/2019 01:45,0,0,0,0,0,282.19,0
01/01/2019 02:00,0,0,0,0,0,282.19,0
01/01/2019 02:15,0,0,0,0,0,282.19,0
01/01/2019 02:30,0,0,0,0,0,282.19,0
01/01/2019 02:45,0,0,0,0,0,282.19,0
01/01/2019 03:00,0,0,0,0,0,282.19,0
01/01/2019 03:15,0,0,0,0,0,282.19,0
01/01/2019 03:30,0,0,0,0,0,282.19,0
01/01/2019 03:45,0,0,0,0,0,282.19,0
01/01/2019 04:00,0,0,0,0,0,282.19,0
01/01/2019 04:15,0,0,0,0,0,282.19,0
01/01/2019 04:30,0,0,0,0,0,282.19,0
01/01/2019 04:45,0,0,0,0,0,282.19,0
01/01/2019 05:00,0,0,0,0,0,282.19,0
01/01/2019 05:15,0,0,0,0,0,282.19,0
01/01/2019 05:30,0,0,0,0,0,282.19,0
01/01/2019 05:45,0,0,0,0,0,282.19,0
01/01/2019 06:00,0,0,0,0,0,282.19,0
01/01/2019 06:15,0,0,0,0,0,282.19,0
01/01/2019 06:30,0,0,0,0,0,282.19,0
01/01/2019 06:45,0,0,0,0,0,282.19,0
01/01/2019 07:00,0,0,0,0,0,282.19,0
01/01/2019 07:15,0,0,0,0,0,282.19,0
01/01/2019 07:30,0,0,0,0,0,282.19,0
01/01/2019 07:45,0,0,0,0,0,282.19,0
01/01/2019 08:00,0,0,0,0,0,282.19,0
01/01/2019 08:15,0,0,0,0,0,282.19,0
01/01/2019 08:30,0,0,0,0,0,282.19,0
01/01/2019 08:45,0.17,0.17,0.47,0,0,282.19,0.18
01/01/2019 09:00,0.74,0.71,3.01,0.05,0.12,282.19,0.75
01/01/2019 09:15,1.68,1.54,7.67,0.78,0.74,282.19,1.61
01/01/2019 09:30,2.81,2.46,11.73,0.9,1.44,282.19,2.58
01/01/2019 09:45,4.06,3.45,15.51,2.77,2.3,282.19,3.63
01/01/2019 10:00,5.34,4.48,19.58,2.72,3.27,282.19,4.73
01/01/2019 10:15,6.62,5.55,23.81,1.45,4.4,282.19,5.89
01/01/2019 10:30,7.83,6.58,27.24,4.96,5.84,282.19,7.05
01/01/2019 10:45,8.95,7.54,30.45,7,7.5,282.19,8.16
01/01/2019 11:00,7.01,8.41,33.6,8.76,9.48,282.19,9.2
01/01/2019 11:15,8.09,9.18,36.51,10.3,10.75,282.19,10.14
01/01/2019 11:30,9.17,9.83,39.34,11.65,10.56,282.19,10.91
01/01/2019 11:45,9.94,10.35,41.61,11.95,10.2,282.19,11.53
01/01/2019 12:00,10.59,10.74,43.33,12.06,9.86,282.19,11.99
01/01/2019 12:15,12.68,11.01,44.52,12.85,9.23,282.19,12.32
01/01/2019 12:30,14.61,11.26,45.13,12.21,8.7,282.19,12.5
01/01/2019 12:45,18.3,11.5,45.15,13.15,8.35,282.19,12.49
01/01/2019 13:00,21.58,11.64,44.6,12.52,7.71,282.19,12.33
01/01/2019 13:15,21.35,11.66,43.46,8.99,7.09,282.19,12.08
01/01/2019 13:30,20.95,11.53,41.79,7.92,6.44,282.19,11.8
01/01/2019 13:45,19.68,11.08,39.56,7.37,5.96,282.19,11.46
01/01/2019 14:00,8.02,10.62,36.78,6.92,5.62,282.19,10.94
01/01/2019 14:15,7.2,9.99,33.88,5.96,5.74,282.19,10.21
01/01/2019 14:30,6.24,9.14,30.76,5.41,6.34,282.19,9.17
01/01/2019 14:45,5.92,7.97,27.57,5.68,6.58,282.19,7.91
01/01/2019 15:00,5.46,6.58,24.14,7.04,6.6,282.19,6.61
01/01/2019 15:15,4.13,5.28,19.94,5.35,6.01,282.19,5.33
01/01/2019 15:30,2.92,4.08,15.85,5.5,4.86,282.19,4.11
01/01/2019 15:45,1.88,2.62,12.06,3.65,3.72,282.19,2.57
01/01/2019 16:00,1.17,1.48,8.01,2.57,2.44,282.19,1.38
01/01/2019 16:15,0.57,0.75,3.33,0.94,0.95,282.19,0.6
01/01/2019 16:30,0.15,0.14,0.53,0.09,0.15,282.19,0.14
01/01/2019 16:45,0,0,0,0,0,282.19,0
01/01/2019 17:00,0,0,0,0,0,282.19,0
01/01/2019 17:15,0,0,0,0,0,282.19,0
01/01/2019 17:30,0,0,0,0,0,282.19,0
